city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
London,51.51,-0.13,52.0,87,90,5.82,GB,1602899780
Hoboken,40.74,-74.03,53.6,93,90,6.93,US,1602899951
Paris,48.85,2.35,50.0,87,90,4.7,FR,1602899433
Lima,-12.04,-77.03,64.4,82,40,13.87,PE,1602899757
Cairo,30.06,31.25,68.0,77,40,8.05,EG,1602899803
Manaus,-3.1,-60.02,82.4,88,26,1.5,BR,1602899923
Ngorongoro,-3.24,35.49,49.44,96,0,5.99,TZ,1602899952
Ushuaia,-54.8,-68.3,42.8,92,40,23.04,AR,1602899952
Provideniya,64.38,-173.3,39.92,87,1,10.67,RU,1602899476
Tiksi,71.69,128.87,25.54,98,100,8.28,RU,1602899552
Georgiyevka,43.04,74.71,35.6,46,0,4.47,KZ,1602899952
Saskylakh,71.92,114.08,5.92,94,99,3.76,RU,1602899574
Mayo,38.89,-76.51,53.6,66,90,8.05,US,1602899952
Quito,-0.23,-78.52,57.2,87,20,6.93,EC,1602899845
Osasco,-23.53,-46.79,60.01,82,75,11.41,BR,1602899875
Trujillo,-8.12,-79.03,63.32,83,77,4.59,PE,1602899952
Yellowknife,62.46,-114.35,25.0,85,90,21.92,CA,1602899952
Isangel,-19.55,169.27,82.4,74,20,11.41,VU,1602899625
Ayan,56.45,138.17,37.15,72,37,4.16,RU,1602899952
Giohar,2.78,45.5,78.15,78,100,11.99,SO,1602899952
Whitehorse,60.72,-135.05,17.6,44,40,11.41,CA,1602899557
Mar del Plata,-38.0,-57.56,57.0,100,90,6.93,AR,1602899697
Nelson Bay,-32.72,152.15,84.99,45,47,5.82,AU,1602899647
Alice Springs,-23.7,133.88,96.8,22,0,18.34,AU,1602899952
