city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
Port Townsend,48.12,-122.76,55.99,66,75,8.05,US,1603151836
Hithadhoo,-0.6,73.08,82.69,77,94,13.11,MV,1603151837
Bambous Virieux,-20.34,57.76,73.4,78,40,9.17,MU,1603151837
Madimba,-10.4,40.33,69.8,88,20,2.44,TZ,1603151837
Alcântara,-2.41,-44.41,80.6,83,50,12.75,BR,1603151837
Port Elizabeth,-33.92,25.57,60.8,82,20,17.22,ZA,1603151837
Bluff,-46.6,168.33,50.0,86,88,8.99,NZ,1603151687
Punta Arenas,-53.15,-70.92,41.0,75,20,33.33,CL,1603151687
North Bend,43.41,-124.22,61.0,77,1,16.11,US,1603151837
Khatanga,71.97,102.5,10.45,96,40,1.36,RU,1603151687
Saint-Philippe,-21.36,55.77,70.0,64,36,6.93,RE,1603151687
Rikitea,-23.12,-134.97,74.43,77,0,11.95,PF,1603151837
Cabedelo,-6.98,-34.83,75.2,83,20,5.82,BR,1603151837
Juneau,58.3,-134.42,41.0,80,75,2.68,US,1603151640
Amroha,28.92,78.47,64.81,31,0,3.76,IN,1603151837
Nara,34.69,135.8,55.4,100,75,1.12,JP,1603151837
San Cristobal,7.77,-72.22,86.0,51,40,10.29,VE,1603151837
Puerto Ayora,-0.74,-90.35,70.0,90,98,4.0,EC,1603151687
São José da Coroa Grande,-8.9,-35.15,76.05,78,64,10.42,BR,1603151837
Ushuaia,-54.8,-68.3,41.0,80,75,34.45,AR,1603151565
Doha,25.29,51.53,82.4,45,0,5.82,QA,1603151838
Ribeira Grande,38.52,-28.7,64.17,68,46,27.69,PT,1603151838
Damāvand,35.72,52.06,55.4,32,0,4.7,IR,1603151838
Hilo,19.73,-155.09,84.2,54,1,13.87,US,1603151687
Ponta Delgada,37.73,-25.67,59.0,77,40,11.41,PT,1603151838
Busselton,-33.65,115.33,61.0,82,1,11.5,AU,1603151686
Honningsvåg,70.98,25.97,40.8,73,100,11.92,NO,1603151838
Ponta do Sol,32.67,-17.1,68.0,88,75,6.93,PT,1603151838
Gilbués,-9.83,-45.34,81.57,41,58,3.89,BR,1603151838
Mataura,-46.19,168.86,50.0,86,62,8.99,NZ,1603151838
General Roca,-39.03,-67.58,66.2,25,0,5.82,AR,1603151838
Kruisfontein,-34.0,24.73,59.0,81,100,5.99,ZA,1603151838
Castro,-24.79,-50.01,62.6,94,12,7.76,BR,1603151598
Hong Kong,22.29,114.16,73.99,75,10,1.99,HK,1603151406
Karligan,14.97,122.05,80.92,85,100,16.73,PH,1603151839
Shimoda,34.67,138.95,64.4,63,75,20.8,JP,1603151839
Pevek,69.7,170.31,25.59,93,1,14.67,RU,1603151839
Salalah,17.02,54.09,80.6,54,75,3.36,OM,1603151839
Huari,-9.33,-77.23,40.42,93,99,0.29,PE,1603151839
